City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,spokane,47.6166,-117.3677,3.05,71,75,4.12,US,1681277828
165,baglung,28.2719,83.5898,29.93,14,0,3.11,NP,1681278024
166,nouadhibou,20.931,-17.0347,17.99,94,75,2.57,MR,1681278025
167,lasa,46.6166,10.7002,7.23,79,91,1.14,IT,1681278025
168,nehe,48.4833,124.8333,5.46,34,100,5.45,CN,1681278027
169,bogovarovo,58.9785,47.0246,7.91,63,93,2.27,RU,1681278028
170,ayan,56.45,138.1667,-2.2,74,79,9.29,RU,1681278029
171,edd,13.9297,41.6925,31.59,49,84,9.63,ER,1681278030
172,ann arbor,42.2776,-83.7409,16.36,64,0,2.06,US,1681278030
173,butaritari,3.0707,172.7902,27.88,75,77,5.2,KI,1681278031
174,san patricio,28.017,-97.5169,20.92,81,1,0.92,US,1681278032
175,bauchi,10.5,10.0,23.51,22,99,2.07,NG,1681278032
176,urucara,-2.5364,-57.76,22.63,98,85,0.9,BR,1681278033
177,puerto del rosario,28.5004,-13.8627,18.86,82,97,4.63,ES,1681278033
178,santa clara,22.4,-79.9667,22.81,94,40,2.57,CU,1681278034
179,ratnagiri,16.9833,73.3,33.11,47,0,4.18,IN,1681278035
180,fernie,49.5,-115.0687,2.05,96,100,2.74,CA,1681277751
181,manta,-0.95,-80.7333,26.88,89,75,1.54,EC,1681277856
182,lom,43.8139,23.2361,10.79,71,72,9.21,BG,1681278038
183,cherskiy,68.75,161.3,-17.14,91,86,1.96,RU,1681278040
184,olafsvik,64.8945,-23.7142,4.43,83,100,2.21,IS,1681278044
185,codrington,-38.2667,141.9667,15.37,90,97,7.15,AU,1681278045
186,port macquarie,-31.4333,152.9167,23.27,50,54,3.3,AU,1681278047
187,husavik,66.0449,-17.3389,1.19,90,100,0.81,IS,1681278048
188,bethel,41.3712,-73.414,18.47,27,0,3.09,US,1681277875
189,ilulissat,69.2167,-51.1,-0.99,80,66,2.57,GL,1681278052
190,esperance,-33.8667,121.9,23.86,47,0,2.71,AU,1681278055
191,isangel,-19.55,169.2667,30.06,79,75,0.0,VU,1681278056
192,challans,46.8436,-1.8749,11.51,88,100,5.91,FR,1681278058
193,naze,28.3667,129.4833,22.51,83,87,4.91,JP,1681278060
194,bambous virieux,-20.3428,57.7575,26.23,89,75,3.09,MU,1681278060
195,shu,43.5983,73.7614,17.03,38,6,1.72,KZ,1681278063
196,kalmunai,7.4167,81.8167,30.72,61,38,4.01,LK,1681278064
197,kloulklubed,7.0419,134.2556,30.28,73,72,3.39,PW,1681278068
198,portland,45.5234,-122.6762,7.79,80,75,4.12,US,1681277416
199,kirkland lake,48.1446,-80.0377,4.16,56,100,0.0,CA,1681278072
200,concarneau,47.875,-3.9225,7.44,75,100,8.15,FR,1681278075
201,myaundzha,63.0494,147.1858,-9.34,71,67,1.0,RU,1681278080
202,oum hadjer,13.2954,19.6966,27.38,20,77,8.65,TD,1681278081
203,lagoa,39.05,-27.9833,13.91,76,100,4.41,PT,1681278082
204,glendive,47.1053,-104.7125,14.79,51,0,11.83,US,1681278084
205,ambam,2.3833,11.2833,20.25,99,100,0.58,CM,1681278086
206,saryagash,41.4511,69.1701,20.98,31,70,0.87,KZ,1681278092
207,sisimiut,66.9395,-53.6735,-7.17,85,13,2.18,GL,1681278093
208,shimoda,34.6667,138.95,21.2,80,91,7.36,JP,1681278094
209,isla mujeres,21.2311,-86.731,21.03,75,6,1.26,MX,1681277860
210,goderich,43.7501,-81.7165,12.17,66,91,3.09,CA,1681278096
211,toora-khem,52.4675,96.11,-2.7,56,100,5.46,RU,1681278100
212,verkhnyaya sinyachikha,57.976,61.6673,8.06,51,98,5.03,RU,1681278101
